filename,state_code,state_name,plate_number,source
AN1.jpg,AN,Andaman & Nicobar,AN01P9687,State-wise_OLX
AN10.jpg,AN,Andaman & Nicobar,AN01K9412,State-wise_OLX
AN2.jpg,AN,Andaman & Nicobar,AN01D4163,State-wise_OLX
AN4.jpg,AN,Andaman & Nicobar,AN01M4M,State-wise_OLX
AN5.jpg,AN,Andaman & Nicobar,AN01L6155,State-wise_OLX
AN6.jpg,AN,Andaman & Nicobar,AN01H1689,State-wise_OLX
AN7.jpg,AN,Andaman & Nicobar,AN01H0908,State-wise_OLX
8c4371ee-a997-4b21-82c4-cb5e767c4d06___kia-sorento-spied-in-India.jpg.jpeg,AP,Andhra Pradesh,AP02BP2454,google_images
AP1.jpg,AP,Andhra Pradesh,AP05BY7799,State-wise_OLX
AP10.jpg,AP,Andhra Pradesh,AP39E1493,State-wise_OLX
AP12.jpg,AP,Andhra Pradesh,AP310U7562,State-wise_OLX
AP13.jpg,AP,Andhra Pradesh,AP39JJ5441,State-wise_OLX
AP14.jpg,AP,Andhra Pradesh,AP10AS3445,State-wise_OLX
AP15.jpg,AP,Andhra Pradesh,AP28AT5333,State-wise_OLX
AP16.jpg,AP,Andhra Pradesh,AP39GR3492,State-wise_OLX
AP17.jpg,AP,Andhra Pradesh,AP31TP2282,State-wise_OLX
AP18.jpg,AP,Andhra Pradesh,AP16BS4500,State-wise_OLX
AP19.jpg,AP,Andhra Pradesh,AP04M7627,State-wise_OLX
AP2.jpg,AP,Andhra Pradesh,AP07AN3915,State-wise_OLX
AP20.jpg,AP,Andhra Pradesh,AP04AS8753,State-wise_OLX
AP21.jpg,AP,Andhra Pradesh,AP31AT5064,State-wise_OLX
AP22.jpg,AP,Andhra Pradesh,AP16CH9545,State-wise_OLX
AP23.jpg,AP,Andhra Pradesh,AP39DL3537,State-wise_OLX
AP24.jpg,AP,Andhra Pradesh,AP07AD5555,State-wise_OLX
AP25.jpg,AP,Andhra Pradesh,AP26AM1260,State-wise_OLX
AP26.jpg,AP,Andhra Pradesh,AP31BR9501,State-wise_OLX
AP27.jpg,AP,Andhra Pradesh,AP31EF1155,State-wise_OLX
AP29.jpg,AP,Andhra Pradesh,AP31DF2833,State-wise_OLX
AP3.jpg,AP,Andhra Pradesh,AP2D4014,State-wise_OLX
AP30.jpg,AP,Andhra Pradesh,AP31DT9378,State-wise_OLX
AP33.jpg,AP,Andhra Pradesh,AP31DA0020,State-wise_OLX
AP34.jpg,AP,Andhra Pradesh,AP37EJ2277,State-wise_OLX
AP39.jpg,AP,Andhra Pradesh,AP05DY3395,State-wise_OLX
AP4.jpg,AP,Andhra Pradesh,AP39HZ0087,State-wise_OLX
AP40.jpg,AP,Andhra Pradesh,AP04BA4464,State-wise_OLX
AP41.jpg,AP,Andhra Pradesh,AP5CG6320,State-wise_OLX
AP42.jpg,AP,Andhra Pradesh,AP31TV6847,State-wise_OLX
AP43.jpg,AP,Andhra Pradesh,AP31BG7827,State-wise_OLX
AP44.jpg,AP,Andhra Pradesh,AP318L4935,State-wise_OLX
AP45.jpg,AP,Andhra Pradesh,AP31BL2833,State-wise_OLX
AP46.jpg,AP,Andhra Pradesh,AP31CS2511,State-wise_OLX
AP5.jpg,AP,Andhra Pradesh,AP39TP0211,State-wise_OLX
AP6.jpg,AP,Andhra Pradesh,AP31TV7236,State-wise_OLX
AP7.jpg,AP,Andhra Pradesh,AP31BL8656,State-wise_OLX
AP8.jpg,AP,Andhra Pradesh,AP16DP7065,State-wise_OLX
bd742e42-bacc-430e-b9aa-9df666f5d9b3___kicker-647_010517112446.jpg.jpeg,AP,Andhra Pradesh,AP28N3107,google_images
car-wbs-AP02BP2454_00000.jpeg,AP,Andhra Pradesh,AP02BP2454,google_images
AR1.jpg,AR,Arunachal Pradesh,AR048395,State-wise_OLX
AR10.jpg,AR,Arunachal Pradesh,AR152019,State-wise_OLX
AR11.jpg,AR,Arunachal Pradesh,AR01J0123,State-wise_OLX
AR12.jpg,AR,Arunachal Pradesh,AR118724,State-wise_OLX
AR13.jpg,AR,Arunachal Pradesh,AR200692,State-wise_OLX
AR2.jpg,AR,Arunachal Pradesh,AR01F2523,State-wise_OLX
AR3.jpg,AR,Arunachal Pradesh,AR169723,State-wise_OLX
AR4.jpg,AR,Arunachal Pradesh,AR01C5723,State-wise_OLX
AR6.jpg,AR,Arunachal Pradesh,AR168272,State-wise_OLX
AR7.jpg,AR,Arunachal Pradesh,AR02A7116,State-wise_OLX
AR8.jpg,AR,Arunachal Pradesh,AR08983,State-wise_OLX
AR9.jpg,AR,Arunachal Pradesh,AR01E1034,State-wise_OLX
868b996f-1f40-47ca-8222-b0f2750d7010___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-left-side-view.jpg,AS,Assam,AS23M1264,google_images
AS1.jpg,AS,Assam,AS23H2866,State-wise_OLX
AS10.jpg,AS,Assam,AS01DG6002,State-wise_OLX
AS11.jpg,AS,Assam,AS01DS7523,State-wise_OLX
AS13.jpg,AS,Assam,AS25S6858,State-wise_OLX
AS14.jpg,AS,Assam,AS018P2415,State-wise_OLX
AS15.jpg,AS,Assam,AS01BF9673,State-wise_OLX
AS16.jpg,AS,Assam,AS01AL3746,State-wise_OLX
AS17.jpg,AS,Assam,AS01AR1986,State-wise_OLX
AS18.jpg,AS,Assam,AS04P4549,State-wise_OLX
AS19.jpg,AS,Assam,AS06U1295,State-wise_OLX
AS2.jpg,AS,Assam,AS07AC6653,State-wise_OLX
AS20.jpg,AS,Assam,AS01AT8119,State-wise_OLX
AS21.jpg,AS,Assam,AS23X5585,State-wise_OLX
AS22.jpg,AS,Assam,AS01AN8668,State-wise_OLX
AS23.jpg,AS,Assam,AS19D9919,State-wise_OLX
AS24.jpg,AS,Assam,AS23G2612,State-wise_OLX
AS25.jpg,AS,Assam,AS01BS4362,State-wise_OLX
AS26.jpg,AS,Assam,AS06Z0841,State-wise_OLX
AS3.jpg,AS,Assam,AS23E0596,State-wise_OLX
AS5.jpg,AS,Assam,AS23H0770,State-wise_OLX
AS6.jpg,AS,Assam,AS12S6951,State-wise_OLX
AS7.jpg,AS,Assam,AS06Q4437,State-wise_OLX
AS8.jpg,AS,Assam,AS01AM1419,State-wise_OLX
AS9.jpg,AS,Assam,AS04X2780,State-wise_OLX
d88b7b9c-a4f4-4af6-af3d-b3017e114e0d___146292-maruti-suzuki-wagon-r-stingray-vxi-ownership-review-dsc_01691.jpg.jpeg,AS,Assam,ASM1634,google_images
BR17.jpg,BF,Unknown,BF06P00006,State-wise_OLX
f5bbb8da-dddd-47ae-a46c-15492f9cf752___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746544_0c0822790e.jpg,BL,Unknown,BLUR,google_images
BR10.jpg,BR,Bihar,BR32PA6558,State-wise_OLX
BR11.jpg,BR,Bihar,BR02AF7424,State-wise_OLX
BR12.jpg,BR,Bihar,BR03PA3803,State-wise_OLX
BR13.jpg,BR,Bihar,BR01PL7594,State-wise_OLX
BR14.jpg,BR,Bihar,BR01BL6628,State-wise_OLX
BR15.jpg,BR,Bihar,BR01BR5435,State-wise_OLX
BR16.jpg,BR,Bihar,BR33M0001,State-wise_OLX
BR18.jpg,BR,Bihar,BR01BD5042,State-wise_OLX
BR3.jpg,BR,Bihar,BR01AZ6290,State-wise_OLX
BR4.jpg,BR,Bihar,BR06U2470,State-wise_OLX
BR5.jpg,BR,Bihar,BR01BE0777,State-wise_OLX
BR6.jpg,BR,Bihar,BR7P3952,State-wise_OLX
BR7.jpg,BR,Bihar,BR44E1206,State-wise_OLX
BR8.jpg,BR,Bihar,BR01DG6692,State-wise_OLX
BR9.jpg,BR,Bihar,BR01AW1250,State-wise_OLX
72894c2b-5999-4d87-baa4-e3507548e011___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847602356_1_1080x720_nissan-terrano-xl-d-2014-diesel-bilaspur.jpg,CG,Chhattisgarh,CG10S0650,google_images
CG1.jpg,CG,Chhattisgarh,CG04HD6930,State-wise_OLX
CG10.jpg,CG,Chhattisgarh,CG22H7740,State-wise_OLX
CG11.jpg,CG,Chhattisgarh,CG04HA4553,State-wise_OLX
CG12.jpg,CG,Chhattisgarh,CG12AG1130,State-wise_OLX
CG13.jpg,CG,Chhattisgarh,CG16B1802,State-wise_OLX
CG14.jpg,CG,Chhattisgarh,CG09JA2359,State-wise_OLX
CG15.jpg,CG,Chhattisgarh,CG07BR3255,State-wise_OLX
CG16.jpg,CG,Chhattisgarh,CG07R2684,State-wise_OLX
CG17.jpg,CG,Chhattisgarh,CG07MA2529,State-wise_OLX
CG18.jpg,CG,Chhattisgarh,CG07CA7784,State-wise_OLX
CG19.jpg,CG,Chhattisgarh,CG07MA7848,State-wise_OLX
CG20.jpg,CG,Chhattisgarh,CG251612,State-wise_OLX
CG21.jpg,CG,Chhattisgarh,CG04FJ5834,State-wise_OLX
CG22.jpg,CG,Chhattisgarh,CG13AE4060,State-wise_OLX
CG4.jpg,CG,Chhattisgarh,CG04HV7009,State-wise_OLX
CG6.jpg,CG,Chhattisgarh,CG22AB1111,State-wise_OLX
CG7.jpg,CG,Chhattisgarh,CG08K2057,State-wise_OLX
CG8.jpg,CG,Chhattisgarh,CG04H5060,State-wise_OLX
CG9.jpg,CG,Chhattisgarh,CG04HC4887,State-wise_OLX
CH1.jpg,CH,Chandigarh,CH01BQ5604,State-wise_OLX
CH10.jpg,CH,Chandigarh,CH01AB4559,State-wise_OLX
CH2.jpg,CH,Chandigarh,CH01BL3528,State-wise_OLX
CH3.jpg,CH,Chandigarh,CH03K7672,State-wise_OLX
CH4.jpg,CH,Chandigarh,CH01AX9090,State-wise_OLX
CH5.jpg,CH,Chandigarh,CH01AP4538,State-wise_OLX
CH6.jpg,CH,Chandigarh,CH01AZ2642,State-wise_OLX
CH7.jpg,CH,Chandigarh,CH01AL4920,State-wise_OLX
CH8.jpg,CH,Chandigarh,CH01A09331,State-wise_OLX
CH9.jpg,CH,Chandigarh,CH01AF1382,State-wise_OLX
car-wbs-CH01AN0001_00000.png,CH,Chandigarh,CH01AN0001,google_images
b79f870d-15c7-48e3-8874-7c0e53e29f75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_754eab882b8290b29a0454dd45580a39_555X416_1 - Copy (3).jpg,CR,Unknown,CRETA,google_images
a95a0d9d-5d40-4abb-bd3e-6c6d94bef5b1___IMG_3310.jpg.jpeg,DE,Unknown,DEVANAGRI,google_images
15e7c19f-da3c-4f0d-91f3-552afabc8961___41FxrEl7jHL.jpg.jpeg,DL,Delhi,DL10CG4693,google_images
21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg - Copy.jpeg,DL,Delhi,DL758Y1790,google_images
21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg.jpeg,DL,Delhi,DL13S0155,google_images
27bfd7b7-6e0c-454c-b9f3-7a44d36edb9c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-right-side-angle-view.jpg,DL,Delhi,DL6CM6683,google_images
28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,DL,Delhi,DL14CTC0153,google_images
